s215,Movie,A Perfect Ending ellipsis,Nicole Conn,"Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson",United States,"January 1, 2019",2012,TV-MA,110 min,"Dramas, Independent Movies, LGBTQ Movies","After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl."
s1235,Movie,Casino Royale ellipsis,Martin Campbell,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini","United Kingdom, Czech Republic, United States, Germany, Bahamas","August 31, 2020",2006,PG-13,145 min,Action & Adventure,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table."
s1470,Movie,Come Sunday ellipsis,Joshua Marston,"Chiwetel Ejiofor, Martin Sheen, Danny Glover, Jason Segel, Condola Rashad, Lakeith Stanfield, Stacey Sargeant, Vondie Curtis-Hall",United States,"April 13, 2018",2018,TV-14,105 min,"Dramas, Faith & Spirituality, Independent Movies",A crisis of faith sets renowned fundamentalist preacher Carlton Pearson on a new spiritual path that jeopardizes everything he holds dear.
s1923,Movie,Edge of Seventeen ellipsis,David Moreton,"Chris Stafford, Tina Holmes, Andersen Gabrych, Stephanie McVay, Lea DeLaria, John Eby, Antonio Carriero, Jason Lockhart",United States,"August 27, 2020",1998,TV-MA,103 min,"Comedies, Dramas, Independent Movies",A 17-year-old confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences.
s2229,Movie,For the Love of Benji ellipsis,Joe Camp,"Patsy Garrett, Cynthia Smith, Allen Fiuzat, Ed Nelson, Art Vasil, Peter Bowles, Bridget Armstrong, Mihalis Lambrinos, Dean Goss, Tony Alatis",United States,"March 6, 2018",1977,G,84 min,Children & Family Movies,"Benji and his owner get separated in Greece. On his quest to find them, he's targeted by various bad guys who want to get their hands on him."
s2742,TV Show,Hilda ellipsis,,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","United Kingdom, Canada, United States","December 14, 2020",2021,TV-Y7,2 Seasons,Kids' TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
s3002,Movie,Inhuman Kiss ellipsis,Sittisiri Mongkolsiri,"Phantira Pipityakorn, Oabnithi Wiwattanawarang, Sapol Assawamunkong, Surasak Vongthai, Sahatchai 'Stop' Chumrum, Sahajak Boonthanakit, Makorn Supinacharoen, Sasithorn Panichnok",Thailand,"June 30, 2019",2019,TV-MA,122 min,"Horror Movies, International Movies, Romantic Movies",A teenage girl is caught between the affections of two childhood friends while battling the bloodthirsty demon inside of her that manifests at night.
s7787,Movie,ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS ellipsis,Sam Dunn,,"United Kingdom, Canada, United States","March 1, 2020",2019,TV-MA,90 min,"Documentaries, Music & Musicals",This documentary delves into the mystique behind the blues-rock trio and explores how the enigmatic band created their iconic look and sound.
